Year,Mo,Dy,tave,tmax,mxtm,tmin,mntm,vp,rhmax,rhmxtm,rhmin,rhmntm,sr,wrun,pp,st5mx,st5mxtm,st5mn,st5mntm,st15mx,st15mxtm,st15mn,st15mntm,volts,year,gust,gusttm,gusdir,etr_asce,next tave
2019,2,27,-5.434,-1.855,15:20,-9.013,06:30,0.314,0.9490000000000001,06:40,0.595,16:10,7.914,81.93,0.0,,,,,3.407,00:00,1.415,13:00,,2019.0,5.0569999999999995,13:20,,0.82,
2019,2,28,0.958,10.209,13:20,-8.293,06:50,0.391,0.877,06:20,0.321,13:20,7.3629999999999995,68.71300000000001,0.0,,,,,3.127,21:00,1.186,12:00,,2019.0,8.193,11:00,,1.446,
2019,3,1,3.8360000000000003,11.315999999999999,11:00,-3.6439999999999997,05:10,0.486,0.9640000000000001,22:50,0.247,12:00,8.511000000000001,106.531,0.0,,,,,4.317,20:00,1.431,10:00,,2019.0,8.644,10:10,,1.945,
2019,3,2,-9.381,-1.9480000000000002,00:00,-16.814,23:50,0.261,0.968,06:00,0.772,11:10,4.849,100.693,0.0,,,,,3.938,00:00,2.2880000000000003,23:00,,2019.0,7.388999999999999,09:20,,0.522,
2019,3,3,-17.259,-13.974,14:40,-20.543000000000003,23:40,0.11900000000000001,0.85,21:10,0.657,15:00,8.86,66.473,0.0,,,,,2.253,00:00,1.6909999999999998,23:00,,2019.0,4.92,11:00,,0.444,
2019,3,4,-14.075,-6.319,15:40,-21.83,06:20,0.142,0.853,00:50,0.532,15:40,13.329,45.933,4.064,,,,,1.6669999999999998,00:00,1.2009999999999998,23:00,,2019.0,4.802,11:30,,0.706,
2019,3,5,-9.756,-2.094,12:30,-17.418,06:40,0.184,0.838,06:00,0.426,12:30,12.56,44.75899999999999,6.858,,,,,1.185,00:00,0.875,23:00,,2019.0,4.822,14:30,,0.898,
2019,3,6,-0.159,5.379,14:10,-5.697,06:50,0.415,0.96,21:00,0.41700000000000004,11:30,7.67,54.888000000000005,0.508,,,,,0.872,00:00,0.8,14:00,,2019.0,5.7620000000000005,18:30,,1.13,
2019,3,7,0.28,4.117,16:50,-3.557,06:50,0.519,1.0,07:20,0.664,16:50,7.76,55.199,0.508,,,,,0.997,22:00,0.83,00:00,,2019.0,4.822,14:40,,0.976,
2019,3,8,1.555,7.858,14:20,-4.747,05:40,0.488,0.9540000000000001,00:40,0.475,11:50,6.9879999999999995,50.908,0.508,,,,,1.041,23:00,0.82,14:00,,2019.0,7.232,17:10,,1.146,
2019,3,9,5.547999999999999,10.554,14:20,0.5429999999999999,21:30,0.49700000000000005,0.929,02:10,0.16899999999999998,13:50,13.947000000000001,117.554,0.0,,,,,5.3629999999999995,19:00,1.013,09:00,,2019.0,17.777,06:30,,2.432,
2019,3,10,2.875,9.202,15:50,-3.452,06:20,0.442,0.828,23:50,0.35100000000000003,15:50,12.956,56.123000000000005,0.0,,,,,6.707999999999999,19:00,2.252,11:00,,2019.0,6.212999999999999,14:50,,1.682,
2019,3,11,3.6260000000000003,10.66,17:00,-3.408,06:00,0.51,0.898,06:00,0.39,12:30,9.105,42.898999999999994,0.0,,,,,5.882000000000001,19:00,2.8,12:00,,2019.0,6.4879999999999995,13:20,,1.4040000000000001,
2019,3,12,7.334,16.078,15:20,-1.41,05:30,0.585,0.857,05:40,0.28600000000000003,14:50,11.21,41.22,1.016,,,,,7.58,20:00,2.9160000000000004,10:00,,2019.0,4.606,13:00,,1.821,
2019,3,13,2.158,6.652,01:30,-2.336,12:00,0.555,1.0,09:10,0.557,23:00,1.278,85.704,14.732000000000001,,,,,7.16,00:00,3.3680000000000003,23:00,,2019.0,12.328,20:40,,0.531,
2019,3,14,-1.047,3.3489999999999998,12:40,-5.442,23:50,0.31,0.731,23:50,0.36700000000000005,12:10,12.583,134.797,11.937999999999999,,,,,3.2760000000000002,00:00,2.081,23:00,,2019.0,14.073,02:10,,1.827,
2019,3,15,-0.9420000000000001,6.612,15:40,-8.495,05:50,0.318,0.8140000000000001,01:00,0.302,14:10,15.013,48.629,0.254,,,,,2.359,20:00,1.504,15:00,,2019.0,4.822,15:50,,1.621,
2019,3,16,1.528,8.584,15:10,-5.527,05:40,0.426,0.9079999999999999,06:40,0.342,12:40,14.790999999999999,62.435,0.0,,,,,5.0889999999999995,19:00,1.517,12:00,,2019.0,7.917999999999999,15:40,,1.8159999999999998,
2019,3,17,4.437,12.630999999999998,14:30,-3.7560000000000002,06:20,0.46799999999999997,0.858,04:20,0.26,12:40,14.466,51.46,0.0,,,,,6.595,19:00,2.456,11:00,,2019.0,7.017,15:40,,2.013,
2019,3,18,3.946,9.703,13:50,-1.8119999999999998,06:30,0.485,0.8490000000000001,05:20,0.35100000000000003,18:00,12.294,63.66,0.0,,,,,7.18,19:00,3.588,10:00,,2019.0,6.507000000000001,22:30,,1.824,
2019,3,19,3.991,9.082,14:50,-1.1,06:30,0.336,0.6629999999999999,05:10,0.168,17:10,15.345,118.49799999999999,0.0,,,,,7.09,19:00,4.256,10:00,,2019.0,12.210999999999999,15:50,,2.661,
2019,3,20,4.995,16.148,15:20,-6.159,05:00,0.38299999999999995,0.7509999999999999,04:40,0.129,09:30,15.379000000000001,44.66,0.0,,,,,7.82,20:00,3.4760000000000004,11:00,,2019.0,6.428999999999999,14:10,,2.261,
2019,3,21,6.752999999999999,15.674000000000001,15:40,-2.167,05:50,0.491,0.8170000000000001,06:00,0.182,15:40,11.411,54.196999999999996,0.0,,,,,8.15,19:00,4.638999999999999,10:00,,2019.0,8.427999999999999,16:20,,2.142,
2019,3,22,8.283999999999999,13.600999999999999,13:50,2.968,05:30,0.735,0.934,17:50,0.41,14:20,8.208,80.158,3.556,,,,,8.34,19:00,5.641,10:00,,2019.0,8.113999999999999,15:50,,1.85,
2019,3,23,5.627999999999999,9.646,16:40,1.61,23:50,0.657,0.894,23:40,0.5479999999999999,16:00,2.835,86.954,0.0,,,,,7.6,00:00,6.312,11:00,,2019.0,6.625,20:40,,0.8959999999999999,
2019,3,24,5.952000000000001,14.167,14:40,-2.263,05:00,0.581,0.976,06:40,0.272,14:50,9.934,50.166000000000004,0.0,,,,,7.82,19:00,4.433,10:00,,2019.0,8.879,14:00,,1.839,
2019,3,25,9.615,15.818,16:30,3.412,05:00,0.633,0.929,05:20,0.131,14:50,15.99,78.64399999999999,0.0,,,,,10.59,19:00,6.303999999999999,09:00,,2019.0,11.505,12:20,,2.859,
2019,3,26,9.51,19.516,16:50,-0.49700000000000005,05:40,0.501,0.677,02:20,0.16899999999999998,16:50,12.443,47.288000000000004,0.0,,,,,10.47,20:00,6.625,10:00,,2019.0,4.861000000000001,16:10,,2.423,
2019,3,27,12.244000000000002,21.044,14:30,3.444,05:50,0.653,0.736,05:50,0.182,15:10,13.062999999999999,66.64399999999999,0.0,,,,,11.92,20:00,7.76,10:00,,2019.0,6.801,14:40,,2.887,
2019,3,28,9.424,16.362000000000002,14:50,2.4859999999999998,05:40,0.7979999999999999,0.985,23:50,0.36700000000000005,15:50,14.097999999999999,79.758,0.254,,,,,12.72,19:00,8.84,10:00,,2019.0,9.741,16:20,,2.524,
2019,3,29,2.4019999999999997,5.178,13:50,-0.374,23:50,0.655,1.0,21:50,0.805,14:00,2.509,75.419,5.334,,,,,11.79,00:00,8.3,23:00,,2019.0,9.192,23:20,,0.424,
2019,3,30,1.393,5.5729999999999995,17:20,-2.787,05:50,0.457,0.943,01:30,0.41100000000000003,15:40,8.621,45.673,5.08,,,,,8.36,19:00,6.12,10:00,,2019.0,6.723,00:10,,1.32,
2019,3,31,3.3089999999999997,10.418,16:20,-3.801,05:50,0.466,0.8959999999999999,05:50,0.309,15:20,16.761,45.31399999999999,0.0,,,,,9.4,19:00,5.007,10:00,,2019.0,5.664,14:00,,2.119,
2019,4,1,5.954,14.459000000000001,14:40,-2.551,05:10,0.473,0.853,05:10,0.163,15:30,14.005,76.089,0.0,,,,,9.33,19:00,5.93,10:00,,2019.0,11.446,15:20,,2.613,
2019,4,2,7.191,11.8,15:40,2.582,05:10,0.653,0.9009999999999999,05:50,0.387,17:10,9.23,67.134,0.0,,,,,9.98,19:00,7.32,10:00,,2019.0,6.017,00:40,,1.855,
2019,4,3,10.169,16.112000000000002,15:40,4.225,06:00,0.725,0.8420000000000001,23:40,0.326,17:00,12.212,68.786,0.254,,,,,11.6,19:00,8.11,09:00,,2019.0,7.212999999999999,18:40,,2.439,
2019,4,4,10.094,18.585,15:10,1.6019999999999999,06:00,0.736,0.951,05:00,0.24,15:20,12.946,50.428999999999995,0.0,,,,,12.41,20:00,8.36,09:00,,2019.0,6.409,12:50,,2.457,
2019,4,5,13.743,21.289,16:20,6.197,05:50,0.69,0.7170000000000001,06:10,0.162,15:40,13.712,70.811,0.0,,,,,13.73,20:00,9.89,09:00,,2019.0,8.291,14:20,,3.1660000000000004,
2019,4,6,12.372,21.013,12:50,3.7310000000000003,05:50,0.6579999999999999,0.711,05:50,0.205,10:40,11.592,57.115,0.0,,,,,13.98,19:00,10.33,09:00,,2019.0,8.31,13:50,,2.7039999999999997,
2019,4,7,12.309000000000001,22.156,15:40,2.463,06:00,0.562,0.6729999999999999,06:00,0.114,15:10,16.844,76.869,0.0,,,,,15.51,19:00,10.26,09:00,,2019.0,10.172,15:40,,3.6439999999999997,
2019,4,8,15.33,23.6,14:50,7.06,03:00,0.597,0.5329999999999999,03:00,0.153,14:50,15.168,68.525,0.0,,,,,16.69,19:00,11.76,09:00,,2019.0,9.78,04:00,,3.522,
2019,4,9,15.449000000000002,24.334,17:00,6.565,05:30,0.6409999999999999,0.638,05:30,0.09300000000000001,18:10,12.288,77.333,0.0,,,,,16.15,19:00,12.68,10:00,,2019.0,10.212,17:40,,3.535,
2019,4,10,3.699,13.190999999999999,00:10,-5.794,23:20,0.513,0.981,12:30,0.31,00:00,1.0959999999999999,126.412,6.35,,,,,15.13,00:00,8.41,23:00,,2019.0,11.210999999999999,17:50,,1.4569999999999999,
2019,4,11,-0.4,4.859,12:30,-5.659,02:10,0.40299999999999997,0.924,00:10,0.435,18:00,15.265999999999998,114.723,14.224,,,,,8.24,19:00,6.108,13:00,,2019.0,10.702,14:40,,1.982,
2019,4,12,0.782,4.758,16:30,-3.194,04:00,0.49,0.9279999999999999,23:50,0.589,18:00,10.023,96.294,0.0,,,,,8.05,20:00,5.143,10:00,,2019.0,7.605,12:40,,1.485,
2019,4,13,3.315,7.9079999999999995,16:00,-1.278,03:20,0.557,0.9620000000000001,03:40,0.47700000000000004,16:20,10.932,65.072,0.508,,,,,9.23,19:00,5.992000000000001,09:00,,2019.0,6.39,08:40,,1.705,
2019,4,14,8.52,18.132,15:00,-1.092,03:00,0.647,0.925,02:00,0.24100000000000002,15:00,12.765999999999998,52.282,0.254,,,,,10.42,19:00,5.7620000000000005,09:00,,2019.0,11.799000000000001,15:10,,2.4930000000000003,
2019,4,15,11.6,20.287,14:30,2.9130000000000003,05:10,0.71,0.8170000000000001,05:10,0.223,14:00,9.48,43.777,0.0,,,,,11.5,19:00,7.91,09:00,,2019.0,6.135,18:50,,2.283,
2019,4,16,10.6,17.535999999999998,13:30,3.665,05:30,0.867,0.915,03:10,0.442,14:40,13.542,52.841,0.0,,,,,13.27,19:00,8.6,09:00,,2019.0,6.017,10:40,,2.456,
2019,4,17,12.037,18.312,16:50,5.7620000000000005,03:30,0.721,0.7979999999999999,03:30,0.22899999999999998,18:40,15.293,84.367,0.508,,,,,14.66,19:00,9.88,09:00,,2019.0,9.78,22:00,,3.2710000000000004,
2019,4,18,11.450999999999999,18.582,15:30,4.32,04:20,0.6920000000000001,0.84,07:10,0.185,15:10,15.815999999999999,120.405,0.254,,,,,14.86,19:00,10.67,10:00,,2019.0,16.327,15:00,,3.779,
2019,4,19,12.991,23.57,16:10,2.412,05:40,0.732,0.773,05:30,0.205,14:50,18.922,67.60600000000001,0.0,,,,,17.15,19:00,10.52,09:00,,2019.0,7.938,14:10,,3.792,
2019,4,20,16.125999999999998,25.581999999999997,15:30,6.671,03:40,0.728,0.674,03:30,0.121,17:10,9.956,51.342,0.0,,,,,15.91,19:00,12.61,09:00,,2019.0,9.624,17:00,,2.925,
2019,4,21,14.06,20.311,10:10,7.809,23:20,0.98,0.9470000000000001,17:20,0.27399999999999997,09:10,8.679,78.767,7.112,,,,,15.64,15:00,13.68,09:00,,2019.0,8.663,11:50,,2.593,
2019,4,22,7.064,8.41,17:30,5.718999999999999,10:20,0.794,0.902,10:20,0.6759999999999999,17:10,3.9760000000000004,65.587,0.0,,,,,13.86,00:00,11.57,23:00,,2019.0,7.0360000000000005,00:40,,0.851,
2019,4,23,13.259,19.299,15:40,7.218999999999999,02:10,0.8859999999999999,0.804,00:20,0.361,17:00,18.554000000000002,62.083999999999996,0.0,,,,,16.55,19:00,10.44,08:00,,2019.0,6.233,09:30,,3.3680000000000003,
2019,4,24,13.686,22.541,15:40,4.83,05:20,0.861,0.862,05:30,0.23800000000000002,11:00,13.383,50.122,0.0,,,,,16.86,19:00,11.93,09:00,,2019.0,12.152000000000001,23:20,,2.923,
2019,4,25,13.524000000000001,18.83,16:10,8.218,02:20,0.7390000000000001,0.711,00:30,0.243,15:40,18.962,106.807,0.0,,,,,18.5,19:00,13.09,09:00,,2019.0,10.720999999999998,00:00,,4.046,
2019,4,26,14.618,24.721999999999998,15:10,4.513,04:40,0.8,0.765,05:00,0.198,15:10,15.905,99.993,0.254,,,,,18.3,18:00,13.4,09:00,,2019.0,14.915999999999999,16:30,,4.207,
